,accuracy,precision,recall,f1_score,mcc,confusion_matrix
Logistic Regression,0.9039812646370023,0.9188191881918819,0.9291044776119403,0.9239332096474954,0.7938757881667572,"[274, 44, 38, 498]"
Decision Tree,0.9800936768149883,0.9832402234636871,0.9850746268656716,0.9841565703634668,0.9573879874228042,"[309, 9, 8, 528]"
Random Forest,0.9707259953161592,0.974025974025974,0.9794776119402985,0.9767441860465117,0.9372771173431564,"[304, 14, 11, 525]"
XGBoost,0.9800936768149883,0.9779005524861878,0.9906716417910447,0.9842446709916589,0.95736927413703,"[306, 12, 5, 531]"
LightGBM,0.9800936768149883,0.9779005524861878,0.9906716417910447,0.9842446709916589,0.95736927413703,"[306, 12, 5, 531]"
CatBoost,0.9718969555035128,0.9740740740740741,0.9813432835820896,0.9776951672862454,0.9397693282359305,"[304, 14, 10, 526]"
SVC,0.9344262295081968,0.949438202247191,0.9458955223880597,0.9476635514018691,0.8599008434091558,"[291, 27, 29, 507]"
KNN,0.892271662763466,0.8964285714285715,0.9365671641791045,0.9160583941605839,0.7673644764444811,"[260, 58, 34, 502]"
Naive Bayes,0.8887587822014051,0.8902654867256637,0.9384328358208955,0.9137148047229791,0.7595964361482759,"[256, 62, 33, 503]"
MLP,0.9695550351288056,0.9704797047970479,0.9813432835820896,0.9758812615955472,0.9347212982323715,"[302, 16, 10, 526]"
AdaBoost,0.9742388758782201,0.975925925925926,0.9832089552238806,0.979553903345725,0.9447927565822006,"[305, 13, 9, 527]"
Extra Trees,0.9590163934426229,0.9753320683111955,0.9589552238805971,0.9670743179680151,0.9130505031303306,"[305, 13, 22, 514]"
